Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Sales Admin,Rich Products Vietnam,Thương lượng,"182 Đường Lê Đại Hành, Phường 15, District 11, Ho Chi Minh City, Vietnam, 182 Đường Lê Đại Hành, Phường 15, District 11, Ho Chi Minh City, Vietnam","1. Knowledge: Experience in Accounting is a plus.
2. Skil: Time & Task Management and advanced Excel experience.
3. Years of experience: At least 6 months of being a Sales Admin or in relevant positions (Fresh Graduates are also welcome to apply)",14/05/2025,Hành Chính Văn Phòng > Trợ Lý Kinh Doanh,Khác,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Sales Support, Sales Administration, Kinh Doanh, Hỗ Trợ Kinh Doanh",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Trợ Lý Kinh Doanh, Khác, Sales Support, Sales Administration, Kinh Doanh, Hỗ Trợ Kinh Doanh, Rich Products Vietnam, Hồ Chí Minh"
Collections Policy Development Expert,FE CREDIT,Thương lượng,"144 Cộng Hòa, Phường 12, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam, 2 Floor, REE TOWER, 09 Doan Van Bo Street, Ward 13, Dist 4, HCMC",,14/05/2025,Pháp Lý > Luật Tài Chính Ngân Hàng Thương mại,Tài Chính,Không yêu cầu,,,,,Nhân viên,"Legal Compliance, Collection Strategy, Financial Law",Bất kỳ,Không hiển thị,,,,,"Pháp Lý, Luật Tài Chính Ngân Hàng Thương mại, Tài Chính, Legal Compliance, Collection Strategy, Financial Law, FE CREDIT, Hồ Chí Minh"
Kỹ Sư Xây Dựng Dân Dụng và Công Nghiệp,Công Ty Cổ Phần Xây Dựng Contech,10tr-20tr ₫/tháng,"Lô CUTM2-27, Điểm tiểu thủ công nghiệp làng nghề dệt lụa Vạn Phúc - Phường Vạn Phúc - Quận Hà Đông - Hà Nội, Phường Hồ, Thị xã Thuận Thành, Bắc Ninh, Lô CUTM2-27, Điểm tiểu thủ công nghiệp làng nghề dệt lụa Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội, Việt Nam","+ Tốt nghiệp đại học hoặc cao đẳng.
+ Có kinh nghiệm trên 1 năm.
+ Thành thạo các phần mềm chuyên ngành.",14/05/2025,Kiến Trúc/Xây Dựng > Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,1,Không giới hạn,26-50,7,,Nhân viên,"Kỹ Sư Xây Dựng, Kỹ Thuật Hiện Trường, Dự Toán, Kỹ Thuật Văn Phòng, Xây Dựng Công Nghiệp",Tiếng Việt,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, Kỹ Sư Xây Dựng, Kỹ Thuật Hiện Trường, Dự Toán, Kỹ Thuật Văn Phòng, Xây Dựng Công Nghiệp, Công Ty Cổ Phần Xây Dựng Contech, Hà Nội, Bắc Ninh"
SAP Senior Consultant - SAP PM or PP Module,Deloitte Consulting SEA,Thương lượng,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam, 12th Floor, Vinaconex Building, 34 Lang Ha, Dong Da District, Hanoi, Vietnam, 18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam","Requirements:
• A good honors Degree, preferably at postgraduate level, in Information Technology, Business Information Systems, Business, Engineering, Mathematics or related disciplines.
• Good understanding of SAP implementation methodology.
• Senior Consultant will require a minimum of 6-8 years of experience in SAP Plant Maintenance (PM) module or SAP PP (Production Planning), preferably with 4-6 end to end full life cycle SAP PM or SAP PP implementations with team leading experience.
• Prefer industries: Manufacturing, Consumer, Food, Retails, or Semiconductor.
• Strong in Product Costing and Material Ledger is most preferred
• SAP S/4 HANA experience is an advantage
• Demonstrated success in multi-cultural work environment.
• Sound understanding of business process, industry nuances and leading practices in area of focus
• Good communication and presentation skills in English to build relationship and work closely with client stakeholders
• Ability to facilitate effective workshops to lead target state design.
• Demonstrated excellence in conceiving and executing SAP solution
• Sound business acumen, teamwork and leadership qualities.
• Willingness to work outside of office base and most of all
• An appreciation of the consulting lifestyle and ability to travel (both locally and abroad) is a prerequisite to fit to our short-term and long-term project assignment.



Due to volume of applications, we regret that only shortlisted candidates will be notified.

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,Phần Mềm CNTT/Dịch vụ Phần mềm,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Phân Tích Kinh Doanh/Phân Tích Hệ Thống, Phần Mềm CNTT/Dịch vụ Phần mềm, SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations, Deloitte Consulting SEA, Hồ Chí Minh, Hà Nội"
Project Management Expert,FE CREDIT,Thương lượng,"Tầng 2, Tò nhà REE Tower, Số 9 Đoàn Văn Bơ, Phường 13, Quận 4, TP. HCM, 3B Floor, REE TOWER, 09 Doan Van Bo Street, Ward 13, Dist 4, HCMC","• Tốt nghiệp đại học – chuyên ngành: Quản trị kinh doanh, Tài chính hoặc có chuyên môn về Quản Trị Dự Án
• Có ít nhất 4 năm kinh nghiệm quản lý dự án và có tối thiểu 2 năm trong ngành Ngân Hàng, hoặc Tài Chính tiêu dùng
• Yêu cầu ngôn ngữ - Việt Nam – bản xử, tiếng Anh – trôi chảy
• Kỹ năng tin học: tin học văn phòng, các ứng dụng về dự án
• Kỹ năng xây dựng văn bản, quy trình và khung quản trị doanh nghiệp (Corporate Governance)
• Kỹ năng quản lý; giao tiếp và thuyết trình tốt
• Kỹ năng giải quyết vấn đề và đàm phán
• Kỹ năng xử lý vấn đề
• Có kết quả công việc xuất sắc ngay cả khi làm việc theo nhóm hay làm việc độc lập",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > Quản Lý Dự Án Công Nghệ,Tài Chính,4,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Tài Chính, Quản Trị Dự Án, Project Management, Banking",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Quản Lý Dự Án Công Nghệ, Tài Chính, Tài Chính, Quản Trị Dự Án, Project Management, Banking, FE CREDIT, Hồ Chí Minh"
"Service Sales Manager (PUMP, VALVE, MECHANICAL, INDUSTRIAL EQUIPMENT)",Công Ty Cổ Phần Kỹ Thuật Toàn Thắng,"Từ $ 1,600 /tháng","11B Nguyen Binh Khiem, 1st Floor, 11B Nguyen Binh Khiem, Ben Nghe Ward, Dist. 1, HCMC",,14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Khai khoáng/Dầu khí,7,Cử nhân,30-60,1,9:00 - 17:30,Trưởng phòng,"Communication Skills, Leadership Skills, Service Sales, Strategic Thinking, Technical Knowledge Of Valves",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Khai khoáng/Dầu khí, Communication Skills, Leadership Skills, Service Sales, Strategic Thinking, Technical Knowledge Of Valves, Công Ty Cổ Phần Kỹ Thuật Toàn Thắng, Hồ Chí Minh"
Sales Engineer,"SM - Cyclo (Việt Nam) Co., Ltd.",Thương lượng,"Factory 2B, Lot K1-2-5, Road No.2-3-5A, Le Minh Xuan Industrial Zone, Binh Chanh District, HCMC, Factory 2B, Lot K1-2-5, Road No.2-3-5A, Le Minh Xuan Industrial Zone, Binh Chanh District, HCMC","• Degree in Mechanical or Electric Engineering
• At least 2 years of sales experience in industrial fields.
• Proficient English in four Skills: Listening, Speaking, Reading, Writing
• Familiar with general machineries and applications.

Company Benefits:
• Working time: 7:30 – 16:30 from Monday to Friday
• Competitive salary
• 13th month salary and bonus according to the company's business situation
• Insurance and other benefits in accordance the labor law and company policy.
• Opportunities for domestic and oversea training according to company policy.
• Dynamic and friendly working environment.
Priority can start working immediately.",14/05/2025,Kinh Doanh > Bán Hàng Kỹ Thuật,Sản xuất,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Electric, Technical Support, Kinh Doanh, Bán hàng, Phát triển thị trường",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng Kỹ Thuật, Sản xuất, Electric, Technical Support, Kinh Doanh, Bán hàng, Phát triển thị trường, SM - Cyclo (Việt Nam) Co., Ltd., Hồ Chí Minh"
Senior Quality Inspection (Leather),Navigos Search,Thương lượng,"Tây Ninh, HCMC","Comprehensive understanding of physical property requirements for each type of articles and conducting various manual testing for evaluation
Verification of leather measurements
Proficiency in identifying and distinguishing color shades in each production lot
Capability to categorize color variations and establish acceptable color window ranges
Understanding the natural defects and knowledge in identifying it across different leather articles
Familiarity with leather grading techniques using clean area concept
Experience in conducting end-to-end leather inspections
Understanding of various leather finishing and tanning processes
Proficiency in spoken English",14/05/2025,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Dệt may/May mặc/Giày dép,1,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Garment Leather, Supplier Inspection",Tiếng Anh,Người Việt Nam,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Dệt may/May mặc/Giày dép, Garment Leather, Supplier Inspection, Navigos Search, Tây Ninh"
Senior Assistant Brand Manager,Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận,Thương lượng,"Văn Phòng Công ty tại TP. Hồ Chí Minh, 170E Phan Đăng Lưu, Phường 03, Quận Phú Nhuận, Tp. Hồ Chí Minh","TRÌNH ĐỘ HỌC VẤN
Bằng cấp: Đại học Chuyên ngành: QTKD/Marketing/Truyền thông
Trình độ ngoại ngữ: Giao tiếp lưu loát bằng tiếng Anh
Các học vấn khác cần cho ngành nghề: Am hiểu về hành vi người tiêu dùng và thành thạo các nền tảng công cụ hỗ trợ Marketing.
KINH NGHIỆM LIÊN QUAN
Số năm kinh nghiệm liên quan: Ít nhất 3 năm trong vị trí trợ lý nhãn hiệu, nhân viên/chuyên viên truyền thông, Marketing.
Các kinh nghiệm làm việc có liên quan đến công việc hiện tại: quản lý nhãn hàng, marketing, truyền thông, agency cung cấp các dịch vụ marketing.
KỸ NĂNG
Kỹ năng công việc
• Thông thạo vi tính văn phòng.
• Đọc hiểu các bảng phân tích, báo cáo số liệu marketing, kinh doanh.
Kỹ năng mềm:
• Phong cách thời trang phù hợp vời ngành hàng trang sức cao cấp.
• Kỹ năng giao tiếp, thương lượng.
• Kỹ năng giải quyết vấn đề.
• Kỹ năng thuyết trình tốt.
• Yêu thích thời trang, trang sức, đồng hồ.
YÊU CẦU KHÁC
• Chấp nhận đi công tác trong nước để thực hiện các chương trình truyền thông, sự kiện tại chi nhánh.
• Linh động về thời gian làm việc ngoài giờ khi có yêu cầu từ các chương trình.",14/05/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị",Bán lẻ/Bán sỉ,4,Cử nhân,15-60,1,9:00 - 18:00,Nhân viên,"Marketing Development, Quản Lý Nhãn Hàng, Truyền Thông",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Bán lẻ/Bán sỉ, Marketing Development, Quản Lý Nhãn Hàng, Truyền Thông, Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận, Hồ Chí Minh"
Cambridge Secondary ICT Teacher (Vietnamese Candidates),Vietnam Australia International School (Vas),Thương lượng,"594 Ba Thang Hai Street, District 10, Ho Chi Minh City, 10 Đường Mai Chí Thọ, Thu Thiem, District 2, Ho Chi Minh City, Vietnam, 594 Ba Tháng Hai, Phường 14, Quận 10, TP. Hồ Chí Minh","This is a certified Secondary School ICT teaching position that requires you to have a recognised teaching qualification in Secondary ICT.
Please note that you must have the following qualifications to be considered:
- Bachelors or Masters in IT/ ICT Teaching or
Bacherlors/ Masters in IT/ ICT/ relevant majors and a teaching qualification from a university.",14/05/2025,Giáo Dục > Giảng Dạy/Đào Tạo,Giáo dục/Đào Tạo,1,,,,,Nhân viên,"Tesol Certificate, ICT Teaching, Academic Program Development, Academic Management, Pedagogical Skills",Tiếng Anh,Không hiển thị,,,,,"Giáo Dục, Giảng Dạy/Đào Tạo, Giáo dục/Đào Tạo, Tesol Certificate, ICT Teaching, Academic Program Development, Academic Management, Pedagogical Skills, Vietnam Australia International School (Vas), Hồ Chí Minh"
"Senior Executive, Procurement & Contracts Management (Based in Hanoi)",Sembcorp Development Vietnam Company Limited,Thương lượng,"Horison Tower, 40 Cat Linh Street, Dong Da District, Hanoi, Vietnam, Vietnam Country Office: Horison Tower, 40 Cat Linh Street, Dong Da District, Hanoi","• Bachelor's degree in Supply Chain Management, Procurement, Engineering, Construction Management or a related field.
• Minimum of 5 years of experience in procurement, contracts management, or related roles, preferably in industrial real estate, construction, or property management sectors.
• Proven experience in procurement and contracts management.
• Strong knowledge of procurement processes, vendor management, contract law, and industry best practices.
• Strong negotiation, communication, and interpersonal skills.
• Ability to work collaboratively in a team-oriented environment while managing multiple stakeholders.
• Ability to analyze complex data, manage multiple tasks, and prioritize effectively.
• Strong attention to detail with a proactive approach to problem-solving.
• Ability to thrive in a fast-paced and dynamic environment.
• Ability to handle confidential information with discretion and integrity. Proficiency in procurement software, Microsoft Office Suite, and contract management tools.

Interested applicants, kindly apply via this link
https://hrsembcorp.darwinbox.com/ms/candidate/careers/a6757fcc236a36",14/05/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Thu Mua & Quản Trị Hàng Tồn Kho,Bất Động Sản/Cho thuê,5,Cử nhân,Không hiển thị,Không hiển thị,08:30 - 18:00,Nhân viên,"Communication Skills, Contract Law, Negotiation Skills, Purchasing Processes, Vendor Management",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Thu Mua & Quản Trị Hàng Tồn Kho, Bất Động Sản/Cho thuê, Communication Skills, Contract Law, Negotiation Skills, Purchasing Processes, Vendor Management, Sembcorp Development Vietnam Company Limited, Hà Nội"
Phó Tổng Giám Đốc Kinh Doanh,Công Ty Cổ Phần Kosy,Thương lượng,"Tầng 6, Tòa nhà Hội nhà báo Việt Nam, Đường Dương Đình Nghệ, Yên Hòa, TP Hà Nội., Tầng 6, Tòa nhà Hội nhà báo Việt Nam, đường Dương Đình Nghệ, Phường Yên Hòa, Cầu Giấy, Hà Nội.","- Trình độ học vấn: Tốt nghiệp đại học trở lên các ngành quản trị kinh doanh, Marketing, kinh tế, quản trị doanh nghiệp, kiến trúc
- Kinh nghiệm: Tối thiểu 5-7 năm kinh nghiệm trong lĩnh vực kinh doanh trong đó có ít nhất 3 năm ở vị trí lãnh đạo cấp cao Phó Tổng Giám đốc lĩnh vực BĐS ở các Tập đoàn là chủ đầu tư.
- Yêu cầu:
+ Am hiểu thị trường bất động sản và các sản phẩm BĐS tại các tỉnh
+ Hiểu biết chính sách vĩ mô của nhà nước ngành BĐS
+ Nắm chắc luật đầu tư, luật đất đai và các quy định trong lĩnh vực BĐS
+ Có mối quan hệ tốt với cơ quan chức năng, đối tác khách hàng.
+ Có kiến thức tốt về Marketing, quản trị chiến lược
+ Có khả năng lập kế hoạch, phân tích và kết nối các bộ phận
+ Kỹ năng lãnh đạo, chiến lược và ra quyết định xuất sắc.
+ Tự tin giao tiếp tốt, có khả năng diễn thuyết, thuyết trình.
+ Tác phong làm việc chuyên nghiệp. Chịu được áp lực cao.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Bất Động Sản/Cho thuê,5,Cử nhân,25-60,Không hiển thị,08:00 - 17:00,Trưởng phòng,"Quản Trị Doanh Nghiệp, Chăm Sóc Khách Hàng, Chiến Lược Kinh Doanh, Tham Mưu Đề Xuất, Thị trường bất động sản",Tiếng Việt,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Bất Động Sản/Cho thuê, Quản Trị Doanh Nghiệp, Chăm Sóc Khách Hàng, Chiến Lược Kinh Doanh, Tham Mưu Đề Xuất, Thị trường bất động sản, Công Ty Cổ Phần Kosy, Hà Nội"
Nhân Viên Đo Phòng QA/QC,"A.I.S Vietnam Co., Ltd",Thương lượng,"số 9, đường 11, Khu công nghiệp, đô thị và dịch vụ VSIP Bắc Ninh - P.Phù Chẩn - TP Từ Sơn - Bắc Ninh, Số 9, đường 11, VSIP Bắc Ninh, thị xã Từ Sơn, tỉnh Bắc Ninh","• Tốt nghiệp cao đẳng, đại học chuyên ngành cơ khí, đọc hiểu bản vẽ kỹ thuật.
• Có kinh nghiệm đo các chi tiết gia công cơ khí chính xác, sử dụng dụng cụ đo, máy đo tọa độ 3D CMM.
• Sử dụng thành thạo máy vi tính, phần mềm Auto CAD.
• Biết tiếng Anh hoặc tiếng Nhật là lợi thế.
• Có thể đi ca đêm.",14/05/2025,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Cơ khí/Máy móc/Thiết bị công nghiệp,Không yêu cầu,Cao đẳng,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Đo Kích Thước Chi Tiết, Kiểm Tra Báo Cáo, Sử dụng dụng cụ đo mạch, Auto Cad, Tiếng Nhật",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Cơ khí/Máy móc/Thiết bị công nghiệp, Đo Kích Thước Chi Tiết, Kiểm Tra Báo Cáo, Sử dụng dụng cụ đo mạch, Auto Cad, Tiếng Nhật, A.I.S Vietnam Co., Ltd, Bắc Ninh"
"Senior Executive, Leasing Management",Sembcorp Development Vietnam Company Limited,Thương lượng,"Horison Tower, 40 Cat Linh Street, Dong Da District, Ha Noi, Vietnam Country Office: Horison Tower, 40 Cat Linh Street, Dong Da District, Hanoi","• Degree in Sales & Marketing, Customer Service, Business or equivalent
• Minimum 3 years’ relevant working experiences. Experience in logistics operations or property industry is an added advantage
• Strong communication, fluency in spoken and written English, ability to speak Korean, Chinese or Japanese is a plus
• Proficiency in MS Office (Word, Excel, PPT)
• Strong communication, problem solving and organizational skills
• Ability to provide efficient, timely, reliable and courteous service to customers
• Ability to effectively present information
• Positive and adaptive mindset.

Interested applicants, kindly apply via this link
https://hrsembcorp.darwinbox.com/ms/candidate/careers/a6823f4677ff88",14/05/2025,"Bất Động Sản > Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản",Bất Động Sản/Cho thuê,3,Cử nhân,Không hiển thị,1,9:00 - 18:00,Nhân viên,"Communication, Customer Service, International Sales & Marketing, Leasing, MS Office",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Bất Động Sản, Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản, Bất Động Sản/Cho thuê, Communication, Customer Service, International Sales & Marketing, Leasing, MS Office, Sembcorp Development Vietnam Company Limited, Hà Nội"
Trình Dược Viên Kênh Bệnh Viện ETC - Sóc Trăng,Công Ty Cổ Phần Tập Đoàn Merap,"$ 600-1,000 /tháng","Cần Thơ, Ninh Kiều, Cần Thơ, Việt Nam, 89 Trần Thiện Chánh, P12, Q10, TP.HCM","- Nam/ Nữ dưới 35 tuổi.

- Tốt nghiệp từ Trung cấp trở lên, ưu tiên khối ngành Y Dược/ Kinh tế/ Quản trị kinh doanh

- Sức khoẻ tốt. Ngoại hình ưa nhìn.

- Siêng năng, chăm chỉ, tinh thần vượt khó.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Dịch vụ Y tế/Chăm sóc sức khỏe,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Y Tế, Quản Lý Trình Dược Viên, Dược Phẩm, ETC, Bán Hàng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ Y tế/Chăm sóc sức khỏe, Y Tế, Quản Lý Trình Dược Viên, Dược Phẩm, ETC, Bán Hàng, Công Ty Cổ Phần Tập Đoàn Merap, Cần Thơ"
Kĩ Sư Phòng Quản Lý Chất Lượng,Công Ty Cổ Phần Khu Công Nghiệp Tổ Hợp Công Nghệ Thành Công Việt Hưng (Thành Công Việt Hưng),"$ 600-1,000 /tháng","Nhà máy ô tô Thành Công Việt Hưng, KCN Việt Hưng, Tp.Hạ Long, Quảng Ninh, Khu công nghiệp Việt Hưng – TP Hạ Long, Quảng Ninh","1. Trình độ
- Trình độ: Đại học trở lên
- Yêu cầu ngoại ngữ: Tiếng Anh (TOEFL 46-78 | IELTS 4.5-6.0 | TOEIC 605-780 hoặc tương đương)
- Tin học văn phòng: Sử dụng thành thạo tin học văn phòng (Word, Excel, PowerPoint)

2. Kinh nghiệm
- Có tối thiểu từ 02 năm trong lĩnh vực chất lượng sản phẩm
(Ưu tiên có kinh nghiệm làm việc tại Nhà máy ô tô)",14/05/2025,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Sản xuất,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"QC, QA, Kiểm Soát Chất Lượng, Tiếng Anh",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Sản xuất, QC, QA, Kiểm Soát Chất Lượng, Tiếng Anh, Công Ty Cổ Phần Khu Công Nghiệp Tổ Hợp Công Nghệ Thành Công Việt Hưng (Thành Công Việt Hưng), Quảng Ninh"
Senior Operations Performance Management Specialist,FE CREDIT,Thương lượng,"REE Tower, No. 09 Doan Van Bo Street, 3B Floor, REE TOWER, 09 Doan Van Bo Street, Ward 13, Dist 4, HCMC","Bachelor graduate with majors: Business Administration, Finance, Economics or Accounting, Risk management or relevant majors.
At least 01 year of experience in project management/ participation in projects, experience related to retail credit card products & consumer loans preferred
Language requirements – Vietnamese – native, English – fluent
Computer Skills: skills in Excel, Powerpoint
Team work skill
Good communication and presentation skills
Strong mathematical skills to help collect, measure, organize and analyze data",14/05/2025,Dịch Vụ Khách Hàng > Dịch Vụ Khách Hàng - Hướng Khách Hàng,Tài Chính,1,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Customer Experiences, Customer Journey Map, UI - UX, System Operation",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng - Hướng Khách Hàng, Tài Chính, Customer Experiences, Customer Journey Map, UI - UX, System Operation, FE CREDIT, Hồ Chí Minh"
Service Leader (Trung Tâm Bảo Hành),CÔNG TY TNHH Thiết Bị Thông Minh O-Tech Việt Nam,Thương lượng,"UOA TOWER, Tân Trào, Khu đô thị Phú Mỹ Hưng, Tân Phú, District 7, Ho Chi Minh City, Vietnam, HCM","- Tối thiểu 3 năm kinh nghiệm ở vị trí phó quản lý/quản lý trung tâm bảo hành trong ngành bán lẻ, chuỗi cửa hàng kinh doanh thiết bị điện tử/ điện gia dụng
- Có mindset Tận tâm mang đến trải nghiệm cho khách hàng.
- Ưu tiên ứng viên có kiến thức về kỹ thuật điện/điện tử.
- Có kỹ năng quan sát và giải quyết vấn đề, ra quyết định.
- Kỹ năng giao tiếp tốt, hợp tác tốt liên phòng ban.
- Có thể làm việc và giao tiếp bằng tiếng Anh (Tiếng Trung)",14/05/2025,Khoa Học & Kỹ Thuật > Kỹ Thuật Điện/Điện Tử,Điện/Điện tử,3,Cử nhân,Không hiển thị,1,,Nhân viên,"Bảo Hành, Thiết Bị Điện Tử, Điện Gia Dụng, Quản Lý Chuỗi Cửa Hàng Bán Lẻ, Tối Ưu Hóa Trải Nghiệm Người Dùng",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Điện/Điện tử, Bảo Hành, Thiết Bị Điện Tử, Điện Gia Dụng, Quản Lý Chuỗi Cửa Hàng Bán Lẻ, Tối Ưu Hóa Trải Nghiệm Người Dùng, CÔNG TY TNHH Thiết Bị Thông Minh O-Tech Việt Nam, Hồ Chí Minh"
Chief Accountant (Fintech - P2P Lending),CÔNG TY TNHH STS SEN,"$ 1,500-2,000 /tháng","88 Nguyễn Thái Sơn, Phường 3, quận Gò Vấp, Thành phố Hồ Chí Minh, Viet Nam, Nguyễn Thái Sơn , Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","• Graduated from University or higher majoring in accounting, corporate finance, auditing;
• Certified Chief Accountant;
• Having at least 03-year experience as a chief accountant in an FDI enterprise, and from Fintech (P2P lending) is a plus;
• Have in-depth knowledge of Finance, Accounting, and Management at the enterprise;
• Understanding of State standards and regulations in the fields of accounting, finance and tax;
• Skills in synthesizing, analyzing, and controlling corporate finances;
• Experience working with related parties: Tax, Customs, Audit.",14/05/2025,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Tài Chính,10,Cử nhân,35-45,Không hiển thị,,Trưởng phòng,"P2P Lending, Fintech, Chief Accountant Certificate, Accounting Management, TAX",Tiếng Anh,Người Việt Nam,Nữ,Bất kỳ,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Tài Chính, P2P Lending, Fintech, Chief Accountant Certificate, Accounting Management, TAX, CÔNG TY TNHH STS SEN, Hồ Chí Minh"
