Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
Guest Services Supervisor,The Grand Ho Tram,Thương lượng,"217 Đường Nguyễn Văn Thủ, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam, Ho Tram, Phuoc Thuan, Xuyen Moc, Ba Ria Vung Tau","The Guest Services Supervisor at The Grand Ho Tram oversees the daily operations of the Guest Service Executive and Airport Ambassador Teams in Ho Chi Minh City. This role ensures that all guests receive exceptional service marked by professionalism and precision.
The primary duties include managing the staff roster, engaging with guests, resolving service-related complaints, and stepping in for the Assistant Chief Concierge or Chief Concierge when needed. Additionally, the Supervisor is tasked with training and empowering team members to deliver outstanding service and consistently reach their professional goals.
• Promote Hotel Offerings: Promote hotel outlets, services, and events.
• Optimize Processes: Assist in creating efficient systems and processes for handling guest requests.
• Leadership: Provide engaging leadership that inspires and empowers the Guest Service Executive and Lobby Ambassador teams.
• Set Standards: Communicate guidelines that uphold the highest service standards.
• Collaboration: Maintain strong working relationships with other departments and leaders to encourage feedback and ensure smooth operations.
• Compliance: Ensure all departmental activities align with the company’s business objectives and establish safety and security standards.
• Reporting: Keep leadership informed promptly of any deviations from expected results.
• Accountability: Ensure all areas of responsibility are executed to the highest standards, with proper resource utilization.
• Facility Management: Oversee the maintenance of facilities and equipment, ensuring they are in complete working order.
• Staff Development: Support the training, motivation, and ongoing communication with staff to deliver exceptional service, promoting a culture of accountability.
• Staff Management: Assist in managing staff changes, including vacations, rosters, leaves of absence, etc.
• Interdepartmental Communication: Coordinate with other departments to achieve superior guest satisfaction and efficient use of manpower and facilities.
• Hotel Knowledge: Maintain up-to-date knowledge of hotel availability, room rates, package plans, F&B outlet information, hours of operation, special events, and other relevant details.
• Policy Adherence: Meet attendance guidelines and adhere to all departmental and company policies.
• Additional Duties: Perform other duties as assigned by the management team.","Experience: One year of department experience preferred.
Education: Vocational School Certificate required; higher education preferred.
Skills: Proficiency in Microsoft Office is required.
Appearance: Must maintain a well-groomed appearance.
Language: Fluent communication in the primary workplace language, both verbal and nonverbal, is required. Proficiency in English is preferred, with additional skills in Mandarin or Korean encouraged.
Communication: Strong oral and written communication skills are desired.
Competencies: Must be organized, capable of multitasking, possess strong problem-solving abilities, and be detail-oriented.
Teamwork: Ability to build productive relationships with peers and promote teamwork as the standard business practice.",2025-05-20,Dịch Vụ Khách Hàng,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,1,Cao đẳng,1,,Trưởng phòng,"Fluent Communication Skills, Microsoft Office, Problem-solving, Solution Oriented, Teamwork",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Chủ Nhật,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Fluent Communication Skills, Microsoft Office, Problem-solving, Solution Oriented, Teamwork, The Grand Ho Tram, Hồ Chí Minh",Dịch Vụ Khách Hàng,0,100
Nhân Viên PR - Marketing,"Công Ty Cổ Phần Sản Xuất Và Xuất Khẩu Quế Hồi Việt Nam (VINA Samex., JSC)",12tr-17tr ₫/tháng,"Hà Nội, Vietnam, Thôn Vàng, xã Cổ Bi, huyện Gia Lâm, Thành phố Hà Nội","Lập kế hoạch và triển khai chiến dịch marketing:
- Xây dựng kế hoạch marketing hàng tháng/quý dựa trên các mục tiêu kinh doanh của công ty.
- Phối hợp với các Phòng ban khác để triển khai các chương trình quảng bá sản phẩm quế hồi tại thị trường trong và ngoài nước.

Quản lý nội dung và hình ảnh thương hiệu:
- Phát triển và quản lý nội dung trên các nền tảng truyền thông như website, Facebook, Instagram, LinkedIn, v.v.
- Thiết kế và tạo nội dung truyền thông, bao gồm viết bài, chụp ảnh, làm video để quảng bá sản phẩm và thương hiệu.

Nghiên cứu thị trường:
- Thu thập thông tin về nhu cầu khách hàng, phân tích xu hướng thị trường trong và ngoài nước.
- Đề xuất các chiến lược marketing dựa trên kết quả nghiên cứu để tăng cường vị thế cạnh tranh của công ty.

Quản lý quảng cáo trực tuyến:
- Thiết lập và tối ưu hóa các chiến dịch quảng cáo trên các kênh trực tuyến như Google Ads, Facebook Ads.
- Theo dõi, đánh giá hiệu quả các chiến dịch và đề xuất các phương án cải tiến để tối ưu chi phí và tăng tỷ lệ chuyển đổi.

Hỗ trợ tổ chức sự kiện và triển lãm:
- Tham gia tổ chức các sự kiện, hội chợ triển lãm để quảng bá sản phẩm và thương hiệu của công ty.
- Đảm bảo hình ảnh thương hiệu được quảng bá đúng cách tại các sự kiện và triển lãm quốc tế.

Đánh giá và báo cáo:
- Theo dõi và đo lường hiệu quả của các hoạt động marketing thông qua các chỉ số hiệu suất (KPIs).
- Lập báo cáo kết quả hoạt động định kỳ và đề xuất các chiến lược tối ưu hóa.","Kinh nghiệm / Kỹ năng chi tiết
- Kiến thức: Tốt nghiệp Đại học trở lên chuyên ngành Quản trị Kinh doanh, Marketing, Kinh tế hoặc các ngành liên quan. Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực xuất khẩu nông sản.

- Kinh nghiệm: Có ít nhất 1-2 năm kinh nghiệm làm việc trong lĩnh vực marketing, ưu tiên có kinh nghiệm làm việc tại các công ty sản xuất, xuất khẩu hoặc lĩnh vực nông sản.

- Kỹ năng:
+ Kỹ năng viết và sáng tạo nội dung tốt, có kinh nghiệm thiết kế cơ bản là một lợi thế.
+ Am hiểu về các công cụ quảng cáo trực tuyến (Google Ads, Facebook Ads, SEO).
+ Kỹ năng giao tiếp, làm việc nhóm tốt, chịu được áp lực công việc.
+ Có khả năng sử dụng tiếng Anh là một lợi thế để làm việc với khách hàng quốc tế.
+ Biết lái xe là một lợi thế

Phúc lợi
- Đi tham quan, du lịch 1 lần/năm
- Quà sinh nhật và các ngày lễ tết
- Thưởng tháng, quý, năm",2025-05-20,"Tiếp Thị, Quảng Cáo/Truyền Thông",Nhập khẩu/Xuất khẩu,1,Cử nhân,Không hiển thị,08:00 - 17:30,Nhân viên,"Marketing, Quản trị Kinh doanh, Quảng Bá Thương Hiệu, Sáng Tạo Nội Dung, Xây Dựng Kế Hoạch",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 7,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Trực Tuyến, Nhập khẩu/Xuất khẩu, Marketing, Quản trị Kinh doanh, Quảng Bá Thương Hiệu, Sáng Tạo Nội Dung, Xây Dựng Kế Hoạch, Công Ty Cổ Phần Sản Xuất Và Xuất Khẩu Quế Hồi Việt Nam (VINA Samex., JSC), Hà Nội",Tiếp Thị Trực Tuyến,0,100
Nhân Viên Kinh Doanh,CÔNG TY TNHH SHRIMPHARMAQUA,Thương lượng,"79/22 Lê Thị Riêng, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","• Tìm kiếm và phát triển khách hàng mới, duy trì quan hệ với khách hàng hiện tại trong lĩnh vực thủy sản.
• Tư vấn, giới thiệu sản phẩm và giải pháp của Shrimpharma đến khách hàng.
• Thực hiện các kế hoạch bán hàng nhằm đạt doanh số được giao.
• Thu thập thông tin thị trường, đối thủ cạnh tranh và đề xuất giải pháp kinh doanh hiệu quả.
• Theo dõi quá trình giao hàng, chăm sóc khách hàng sau bán hàng.
• Tham gia các sự kiện, hội chợ ngành thủy sản để mở rộng mạng lưới khách hàng.","• Trình độ học vấn: Tốt nghiệp Cao đẳng/Đại học các ngành: Quản trị Kinh doanh, Nuôi trồng Thủy sản, Kinh tế Nông Lâm, Kinh tế Thủy sản hoặc các ngành liên quan.
• Kinh nghiệm: 1-2 năm trong lĩnh vực kinh doanh.
• Kỹ năng giao tiếp tốt, khả năng đàm phán và thuyết phục.
• Năng động, chịu được áp lực công việc, sẵn sàng đi công tác.
• Thành thạo tin học văn phòng (Word, Excel, PowerPoint).
• Không yêu cầu độ tuổi.
Quyền lợi:
• Lương cơ bản + Thưởng doanh số hấp dẫn.
• Phép năm và các ngày nghỉ phép khác theo quy định của nhà nước.
• Được tham gia đầy đủ các chế độ BHXH, BHYT, BHTN theo quy định.
• Cơ hội thăng tiến, phát triển sự nghiệp lâu dài.
• Môi trường làm việc chuyên nghiệp, năng động.
• Được đào tạo nâng cao kỹ năng và kiến thức về sản phẩm.
***Địa điểm làm việc: Quận 12, TP.HCM
**Thời gian làm việc: Toàn thời gian",2025-05-20,Kinh Doanh,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,1,Cử nhân,Không hiển thị,09:00 - 18:00,Nhân viên,"Kinh Doanh, Kinh Tế, Nuôi Trồng Thủy Sản, Sales, Tư Vấn",Tiếng Việt,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản, Kinh Doanh, Kinh Tế, Nuôi Trồng Thủy Sản, Sales, Tư Vấn, CÔNG TY TNHH SHRIMPHARMAQUA, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
"Manager, Asset Management, Logistics, Vietnam","Mapletree Vietnam Management Consultancy Co., Ltd",Thương lượng,"Phòng Số 306, Tòa Nhà Pacific Place, Số 83B Đường Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội, Việt Nam, Floor 5, Mapletree Business Centre, 1060 Nguyen Van Linh Parkway, Tan Phong Ward, District 7, Ho Chi Minh City, Vietnam","This position will be responsible for pursuing and evaluating business opportunities and formulating and executing asset management strategies and plans for a global portfolio of assets.


Job Responsibilities
• Formulate and execute marketing and leasing strategies in order to achieve pre-set targets for occupancy rate, rent and rental income, rental collection while enhancing quality of our customer base.
• Responsible for the overall positioning of assets as well as maintaining the highest and best use of our assets
• Prepare and manage annual budgets and reports which cover the financial performance of the asset including occupancy, rental rate, rental revenue, operating expenses and net property income
• Work closely with the Property Manager to ensure that the asset is properly maintained, managed and compliant with regulations while building strong relationships with customers and coordinating with external parties like government authorities, brokers, etc.
• Other responsibilities include managing market intelligence and collating global market/ industry information to ensure the competitiveness of the Company’s products and services.
• Involve in the investment transactions from end-to-end, including origination, research, deal evaluation and structuring, financial analysis (including financial modeling) and deal execution.
• Other related arising jobs are assigned by the Company.","• Degree in Real Estate, Building, Business, Finance, Engineering or its equivalent.
• At least 10 years of experience in asset management.
• Familiarity with real estate markets
• Resourceful, have an analytical mind and proficiency in financial modeling.
• Good teamwork, strong initiative, good business and financial acumen, and great independence in working in a fast-paced environment.",2025-05-20,Bất Động Sản,Bất Động Sản/Cho thuê,10,Cử nhân,Không hiển thị,,Trưởng phòng,"Asset Management, Industrial Real Estate, Leasing Industrial Properties, Warehouse",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Bất Động Sản, Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản, Bất Động Sản/Cho thuê, Asset Management, Industrial Real Estate, Leasing Industrial Properties, Warehouse, Mapletree Vietnam Management Consultancy Co., Ltd, Hà Nội","Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản",0,100
Quản Lý Bán Hàng (ASM) Kênh Dược – Thực Phẩm Chức Năng,CÔNG TY TNHH Cospharm,"$ 800-1,200 /tháng","Ho Chi Minh, Ho Chi Minh City, Vietnam, Hà Nội, Vietnam, Tầng 14, Tòa nhà Việt Á, số 9 phố Duy Tân, P. Dịch Vọng Hậu, Q. Cầu Giấy, TP. Hà Nội.","Cần tuyển:
- Quản lý bán hàng khu vực – Tây Bắc
- Quản lý bán hàng khu vực – Bắc Miền Trung
- Quản lý bán hàng khu vực – Hồ Chí Minh
- Quản lý bán hàng khu vực – Mê Kong
- Quản lý bán hàng khu vực – Đông Nam Bộ + Tây Nguyên
PHẠM VI CÔNG VIỆC
1. Quản lý địa bàn kinh doanh khu vực: Tây Bắc - số lượng: 01; Bắc Miền Trung: 01
2. Kênh phân phối: OTC, ETC. • Các Nhà thuốc • Kênh bệnh viện, phòng khám.

II. MỤC TIÊU CỤ THỂ
1. Tuyển dụng, đào tạo và thiếp lập hệ thống nhân sự các tỉnh.
2. Rà soát và phát triển độ phủ đối với các nhà thuốc trên từng địa bàn.
3. Sau 03 tháng nhận việc, phải phát triển tăng doanh số theo yêu cầu của công ty.
4. Xây dựng và tổ chức triển khai kênh phân phối mới, kênh bán hàng mới hiệu quả.
5. Thực hiện triển khai các CTBH, CTKM theo thông báo của công ty.
6. Các công việc được giao khác.

III. TRÁCH NHIỆM
1. Bảo đảm phát triển doanh số, phát triển thị trường theo mục tiêu đã nêu trên
2. Báo cáo tình hình triển khai, kế hoạch kinh doanh, kết quả kinh doanh trực tiếp với Ban giám đốc.
3. Bảo đảm duy trì thị trường, tăng doanh số lên so với hiện tại.
4. Bảo mật các thông tin kinh doanh.

IV. QUYỀN HẠN
1. Đề xuất tuyển dụng, thay thế nhân viên theo cơ cấu tổ chức.
2. Đánh giá năng lực và kết quả công việc NV thuộc quyền. Đề xuất khen thưởng, kỷ luật nhân viên theo chính sách.
3. Phân tích, đề xuất và xây dựng các chính sách, kế hoạch chiến lược kinh doanh của khu vực trình Ban Giám Đốc duyệt.
4. Được quyền đề xuất linh hoạt điều chỉnh chính sách khuyến mãi, chiết khấu... trong phạm vi tổng ngân sách dành cho các khoản này không thay đổi.","Yêu cầu công việc:
1. Nam tuổi từ 30 - 45.
2. Có thời gian trực tiếp tham gia làm NVBH và Giám sát bán hàng ngành Dược, kênh OTC.
3. Ít nhất 3 năm kinh nghiệm vị trí quản lý chuyên ngành dược, TPCN.
4. Có bằng lái xe ô tô, có kinh nghiệm tự lái xe ô tô.
5. Có khả năng quản lý, lập kế hoạch kinh doanh và triển khai bán hàng tốt. Đẩy mạnh doanh số bán hàng.
6. Sử dụng thành thạo vi tính văn phòng.
7. Có tinh thần trách nhiệm.
8. Có thể đi công tác liên tục.
Thưởng:
- Mức lương cứng: 20-30 triệu + Thưởng KPI, thưởng doanh số.
- Nhiều chế độ ưu đãi khác (nghỉ mát, thưởng lễ, tết… )
Hoạt động nhóm:
Môi trường làm việc chuyên nghiệp, cơ hội thăng tiến cao,
Thông tin liên hệ: Công ty TNHH Cospharm
- Địa chỉ VP Hà Nội: Tầng 14, Tòa nhà Việt Á, số 9 phố Duy Tân, P. Dịch Vọng Hậu, Q. Cầu Giấy, TP. Hà Nội.
- Phỏng vấn trao đổi công việc cụ thể ứng viên trực tiếp gửi CV qua email cho nhà tuyển dụng thông qua website Vietnamworks.com

Giới thiệu nhãn hàng:
S",2025-05-20,Dược,Dược phẩm,3,Không giới hạn,Không hiển thị,,Trưởng phòng,"Dược Phẩm, Phát triển thị trường, Lập Kế Hoạch Kinh Doanh, Giám Sát Bán Hàng, Quản Lý OTC",Bất kỳ,Không hiển thị,Nam,,Toàn thời gian,"Dược, Phân Phối Dược Phẩm, Dược phẩm, Dược Phẩm, Phát triển thị trường, Lập Kế Hoạch Kinh Doanh, Giám Sát Bán Hàng, Quản Lý OTC, CÔNG TY TNHH Cospharm, Hồ Chí Minh, Hà Nội",Phân Phối Dược Phẩm,30,45
Basic Software Development Engineer,HYUNDAI Kefico,Thương lượng,"Taisei Square - 289 Khuất Duy Tiến, Trung Hoà, Cầu Giấy, Hà Nội, Lô XN 01 - Khu công nghiệp Đại An - P Tứ Minh, TP Hải Dương, T Hải Dương","• Development of Embedded Software in automotive applications, coverings tasks such as unit-level design, coding, code reviews, and static/dynamic analysis/verification while engaging directly with production-level code and design process
• Design, Implement and verify Software in automotive in compliance with automotive standards including such as a functional safety (ISO 26262) and A-SPICE. These activities involve participation in automotive industry-standard development frameworks and exposure to high-integrity system design
• Work on control software development using AUTOSAR based MCAL (Microcontroller Abstraction Layer), contributing to structured and scalable automotive software architecture within real-world embedded environments
• Manage software development workflows and ensure timely delivery of project milestones, while aligning with best practices in process driven engineering and collaborative development with Korean R&D Headquarter","• Male/Female
• BSC or MSc Degree in Electronics, Computer Science, or an equivalent education
• 3+ years of experience in Embedded Software Development or Testing with C/C++
• Proficient in C/C++ or Python programming languages
• Experience using debugging tools
• Experience in configuration and working with microcontrollers
• Experience in software framework or middleware development is preferred
• Self-driven and capable of working indecently
• Good communication and team work skills, especially in fast-paced environments
• Good English communication skills
Nice to have:
• Practical experience with MCAL or CDD development for ECUs
• Experienced with with automotive communication Protocol(eg. CAN, Lin, Ethernet)
• Hands-on experience with Classic Classic AUTOSAR platform is a strong plus
• Familiarity with functional safety, A-SPICE, or automotive cybersecurity is a strong plus",2025-05-20,Khoa Học & Kỹ Thuật,Sản xuất,3,Không giới hạn,Không hiển thị,,Nhân viên,"Automotive Embedded Systems, Python, C++, AUTOSAR, Application Engineering",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Sản xuất, Automotive Embedded Systems, Python, C++, AUTOSAR, Application Engineering, HYUNDAI Kefico, Hà Nội",Kỹ Thuật Điện/Điện Tử,0,100
Chief Accountant,T&j Green Energy Co. Ltd,Thương lượng,"Hà Nội, Vietnam, Bắc Ninh, Vietnam, Thôn Cửu Yên, Xã Ngũ Thái, Huyện Thuận Thành, Tỉnh Bắc Ninh","- Set up, guide and perform accounting operations, make vouchers, accounting books, financial statements, tax reports according to the provisions of law and tax law of Vietnam;
- Building an accounting information system and management accounting reports for annual budgeting and other administrative requirements;
- Manage accounting system, accounting books, invoices, business documents;
- Provide adequate accounting data and assist the Board of Directors in consolidating and analysing expenses; then come up with appropriate conclusions and solutions;
- Prepare, present financial statements, provide records, data and explain to tax authorities, auditors (internal and external), banks upon request.
- Deployment and implementation of tax inspections, VAT refund (if any) ….; Take responsibilities for VAT, FCWT, CIT, PIT reports;
- Supervising, checking and evaluating the work efficiency of accountants;
- To organize the preservation and storage of accounting documents, to keep secret the Company's accounting documents and data.
- Cooperate with banks on banking transactions, loans and related covenants….;
- Other financial tasks, e.g., project implementation deposit, reports to DPI…","- Bachelor degree in Finance, Auditing, Economic or higher….;
- With CPA/ACCA is a plus;
- 5 years experiences in working as Chief Accountant, preferred in foreign company
- Fluent in English (4 skills);
- Good communication;
- Good computer skills;
- Quick to adapt and highly proactive.

*** Benefits
- Attractive salary and allowances
- Good working environment with good HR Policies;
- Have chance to learn a new technology in waste to energy (WtE) from Japan;
- Chance to self-study and development;
- Working days: 24 days per month, 6 days off
- Shuttle bus from Hanoi to Bac Ninh;
- Candidates from Bac Ninh or adjacent areas are preferred",2025-05-20,Kế Toán/Kiểm Toán,Dịch vụ môi trường/Chất thải,5,Không giới hạn,Không hiển thị,,Trưởng phòng,"CPA, ACCA, Management Accounting, Finance Management, Tax Report",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Quản Trị, Dịch vụ môi trường/Chất thải, CPA, ACCA, Management Accounting, Finance Management, Tax Report, T&j Green Energy Co. Ltd, Hà Nội, Bắc Ninh",Kế Toán Quản Trị,0,100
WAREHOUSE OFFICER,Công Ty TNHH Dunlopillo (Việt Nam),Thương lượng,"35, đại lộ Hữu Nghị, KCN Việt Nam - Singapore, Bình Hòa, Thuận An, Bình Dương, Khu công nghiệp VSIP 1, Hữu Nghị, Bình Hòa, Thuận An, Bình Dương, Việt Nam","Summary of Position
- Coordinate, monitor and document all relevant Finished Good (FG) Warehouse (WH) transactions and activities in Binh Duong and Hanoi Warehouses.
- Cross team coordination between Production, Sales, Shipping & Transportation, Quality & Compliance, Purchasing & Materials and Finance team to support company's goals and objectives.
Key Duties & Responsibilities
Daily
- Perform, verify and execute MIGO Transfer Posting in SAP
- Transfer of FGs from SAP P001 to SAP W001 / W003 location
- Involve, process and execute Local Delivery - Binh Duong WH
- Receive the FG Delivery List from the Domestic Sales team, and send the list to the Warehouse Supervisor & Attendants; for them to prepare the FGs
- Receive the list of FGs with Serial Numbers prepared by the Supervisor & Attendants, and post Delivery Note (DN) in SAP; print and sign on each DNs
- Based on the DNs printed, check and confirm the actual FGs loaded, vs. the DNs & Serial Number together with the Shipping & Transportation team
- Involve, process and execute Local Delivery - Hanoi WH
- Receive the FG Delivery List from the Domestic Sales team, and send the list to the Warehouse Supervisor & Attendant (Hanoi), for them to prepare the FGs
- Receive the list of FGs with Serial Numbers prepared by the Supervisor & Attendant, and post DNs in SAP
- Involve, process and execute Export Container Delivery for Overseas Sales
- Receive, calculate and confirm the Container Layout list from the Sales / Production team, and ensure optimal loadability is achieved.
- Receive the final Loading List from Production, and send the list to the Warehouse Supervisor & Attendants; for them to prepare and load the FGs
- Receive the list of FGs with Serial Numbers prepared and loaded by the Supervisor & Attendants, and post DNs in SAP.
- Prepare and send the final Loading Serial Number list to the Sales team.
- Involve, process and execute Domestic Container Delivery for Domestic Sales
- Receive, calculate and confirm the Container Layout list from the Domestic Sales team, and ensure optimal loadability is achieved.
- Confirm the final Loading list from the Domestic Sales team, and send the confirmed final list to the Warehouse Supervisor & Attendants; for them to prepare and load the FGs.
- Receive the list of FGs with Serial Numbers prepared and loaded by the Supervisor & Attendants, and perform MIGO Transfer Posting in SAP; transfer of FGs from SAP W001 to SAP W002 location.
- Prepare, confirm and submit Daily Domestic Delivery Report to the Domestic Sales & Factory team
Weekly
- Prepare, process and follow-up on the Purchase Requisition (PR) in SAP for FGs which are purchased from external Suppliers; e.g. Pillows, Protectors etc.
- Manage, control and supervise the external Supplier's FGs Receiving process, and ensure the FGs are physically counted, weighted, and all transactions in SAP are updated correctly and timely.
- Manage, control and supervise the Material Receiving process from Material Store; e.g. PE Sheet, Polybag etc, and ensure the materials are physically counted, weighted, and all transactions in SAP are updated correctly and timely.
Monthly
- Prepare, confirm and submit Monthly Inventory Count for all FGs in Binh Duong Warehouse.
- Prepare, confirm and submit Warehouse Supervisor & Attendants Performance and Productivity report to HR / Superior.
- Prepare, process and submit monthly Operations/KPI reports and other related reports as requested by Superior / VP Operations.
Ad-hoc
- Other tasks as assigned by Superior / Management.
Key Accountabilities
- 100% accuracy in all SAP postings without discrepancy, and performed within the required timeframe in SAP.
- 100% accuracy in all DNs postings with proper verification, and performed within the required timeframe in SAP.
- Container loading list acknowledged, confirmed and sent within the required timeframe to the Sales team.
- 100% accuracy on the FGs loaded in Export & Domestic containers, based on the final list confirmed by the Sales team
- 100% accuracy between SAP FG updates and physical FG counts, and inventory count performed within the required timeframe every month
- Zero discrepancies in the quantity and quality of FGs received from the external Suppliers
- Operations / KPI / Performance & Productivity reports are comprehensive and submitted before the deadline","- Having experience in warehouse
- English can understand and write email.
- Careful, hard working
- Can work with high pressure.",2025-05-20,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Dịch vụ kho bãi,2,Không giới hạn,1,08:00 - 17:00,Nhân viên,"Corrective Exercise, Data Warehouse Systems, English, SAP, Warehouse",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 7,Khác,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Kho & Phân Phối, Dịch vụ kho bãi, Corrective Exercise, Data Warehouse Systems, English, SAP, Warehouse, Công Ty TNHH Dunlopillo (Việt Nam), Bình Dương",Quản Lý Kho & Phân Phối,0,100
Nhân Viên Duyêt Đơn (Không Yêu Câu Kinh Nghiêm),Công Ty CP Dược – VTYT Thanh Hóa,Thương lượng,"Khu đô thị kiến Hưng, khu đô thị, Phú La, Hà Đông, Hà Nội, Việt Nam, 04 Quang Trung, phường Ngọc Trạo, Tp Thanh Hoá","- Thực hiện duyệt tất cả đơn hàng bên mảng OTC và DMS ở khu vực TP Hà Nội theo sự phân công của Ban lãnh đạo Công ty;
- Kiểm tra hàng hóa và tình hình công nợ của khách hàng khi duyệt đơn;
- Nhập thông tin đơn hàng vào phần mềm theo dõi tình hình giao hàng của Công ty hoặc của bên chuyển phát mà Công ty ký hợp đồng;
- Kiểm tra tình hình giao hàng, theo dõi tình hình đơn hàng sau khi đã duyệt đơn.","- Tốt nghiệp các trường Kinh tế hoặc chuyên ngành Dược;
- Không yêu cầu kinh nghiệm;
- Nhiệt tình, ham học hỏi.",2025-05-20,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Dược phẩm,0,Không giới hạn,Không hiển thị,,Nhân viên,Giao tiếp,Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Chuỗi Cung Ứng, Dược phẩm, Giao tiếp, Công Ty CP Dược – VTYT Thanh Hóa, Hà Nội",Quản Lý Chuỗi Cung Ứng,0,100
Giao Dịch Viên,Ngân Hàng TMCP Quốc Dân ( NCB ),Thương lượng,"Hà Nội, Việt Nam, Dong Nai, Vietnam, 25 Phố Lê Đại Hành, Hai Bà Trưng, Hà Nội","1. Phát triển kinh doanh: Phối hợp với Chuyên viên khách hàng Doanh nghiệp Lớn thực hiện hoạt động tìm kiếm, phát triển khách hàng nhằm đem lại hiệu quả kinh doanh cao nhất.
2. Phát triển hệ sinh thái khách hàng: Hỗ trợ Chuyên viên trong việc cung cấp các thông tin cho các Khối kinh doanh khác bán các sản phẩm dịch vụ ngân hàng tương ứng tới các nhà thầu, nhà cung cấp, nhà đầu tư thứ cấp, nhà phân phối, khách hàng đầu ra…của khác hàng Doanh nghiệp.","- Sinh viên năm cuối các khoa thuộc ngành Kinh tế, Tài chính, Ngân Hàng, QTKD…
- Kỹ năng Excel (VBA), Powerpoint tốt;
- Tiếng Anh tương đương IELTS 7.0 trở lên (đặc biệt Speaking và Writing - để thực hiện các tác nghiệp liên quan tới Hợp đồng với đối tác nước ngoài);
- Làm việc toàn thời gian.
Địa điểm: Hà Nội, Đồng Nai
Mức lương: Thỏa thuận",2025-05-20,Ngân Hàng & Dịch Vụ Tài Chính,Ngân hàng,0,Cử nhân,Không hiển thị,09:00 - 18:00,Mới Tốt Nghiệp,"Tài chính Ngân hàng, Excel, Phát Triển Khách Hàng, Phát Triển Kinh Doanh, Tiếng Anh",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Ngân Hàng & Dịch Vụ Tài Chính, Dịch Vụ Hỗ Trợ Khách Hàng, Ngân hàng, Tài chính Ngân hàng, Excel, Phát Triển Khách Hàng, Phát Triển Kinh Doanh, Tiếng Anh, Ngân Hàng TMCP Quốc Dân ( NCB ), Hà Nội, Đồng Nai",Dịch Vụ Hỗ Trợ Khách Hàng,0,100
